V1,V2,V3E4,ESTACK,H2OAINE2,H2OCINE2,H2OAOUTE2,H2OCOUT ,WFH2 ,MFH2,EACTE1,EOHME3,EFFLHVE1,EFFHHVE1,SPECPOW2,TCELL,VH2,PURITYE2,SYSPOW
1200,101.608187,6.25,339.438135,6.0477075,6.7733901,6.0477075,5.110187,10.0941481,5.00731596,2.79001071,3.389053,8.49118151,10.0361128,141273.081,72.7951065,116.476687,74.7389742,407.325762
1200,101.608187,7.5,339.558248,5.6477607,6.7677286,5.6477607,5.11643063,10.1067343,5.01355949,2.78998064,3.902869,8.48817791,10.0325627,141323.071,72.7949727,116.621891,74.7391036,407.469897
1200,108.187135,2.5,338.998619,9.8299113,7.2715025,9.8299113,5.05523796,9.96982092,4.94564206,2.78744351,1.84437,8.50219047,10.0491248,141090.155,72.7996176,115.043695,74.7315869,406.798342
1200,108.187135,3.75,339.127229,7.8740235,7.2435165,7.8740235,5.08572984,10.0312837,4.97613136,2.78732813,2.358202,8.49896609,10.0453138,141143.683,72.7974242,115.752493,74.7335558,406.952675
1200,108.187135,5,339.25058,6.8843817,7.2287495,6.8843817,5.10114457,10.0623558,4.99154505,2.78726656,2.872005,8.49587587,10.0416613,141195.021,72.7965203,116.110855,74.7344108,407.100696
1200,108.187135,6.25,339.371792,6.2868493,7.2197976,6.2868493,5.11045052,10.0811147,5.00085061,2.78722691,3.385794,8.49284144,10.0380748,141245.469,72.7961364,116.327243,74.7347258,407.24615
1200,108.187135,7.5,339.491926,5.8869106,7.213787,5.8869106,5.11667807,10.0936685,5.00707806,2.78719836,3.899574,8.48983613,10.0345227,141295.468,72.7960123,116.472076,74.734849,407.390311
1200,114.766082,2.5,338.939296,10.0689947,7.7212745,10.0689947,5.0556501,9.95708711,4.93932531,2.78495691,1.841595,8.50367854,10.0508836,141065.465,72.8003321,114.897553,74.7279693,406.727155
1200,114.766082,3.75,339.067978,8.1132034,7.6917143,8.1132034,5.08606772,10.0184002,4.96974037,2.78484678,2.355392,8.50045125,10.0470692,141119.022,72.7982736,115.604654,74.7298313,406.881574
1200,114.766082,5,339.191367,7.1236033,7.676087,7.1236033,5.10144376,10.0493944,4.98511537,2.78478804,2.869161,8.49735901,10.0434143,141170.377,72.7974273,115.962134,74.7306019,407.02964
1200,114.766082,6.25,339.312605,6.5261055,7.6666154,6.5261055,5.11072549,10.0681044,4.99439669,2.78475026,3.382917,8.49432287,10.0398257,141220.835,72.7970683,116.17796,74.7309372,407.175126
1200,114.766082,7.5,339.432757,6.1261934,7.660257,6.1261934,5.11693706,10.080626,5.00060817,2.78472305,3.896664,8.49131606,10.0362719,141270.842,72.7969542,116.322424,74.731053,407.319308
1200,121.345029,2.5,338.88602,10.3080625,8.171437,10.3080625,5.05607284,9.94437466,4.93301916,2.78273006,1.839128,8.50501542,10.0524638,141043.292,72.8009855,114.751574,74.7247142,406.663223
1200,121.345029,3.75,339.014765,8.3524513,8.1403151,8.3524513,5.08641674,10.0055392,4.96336051,2.78262474,2.352892,8.50178552,10.0486462,141096.875,72.7990481,115.456987,74.7264824,406.817718
1200,121.345029,5,339.138188,7.3629323,8.1238295,7.3629323,5.10175382,10.0364548,4.97869656,2.78256858,2.86663,8.49869145,10.0449892,141148.244,72.7982534,115.813573,74.7272135,406.965826
1200,121.345029,6.25,339.259449,6.7654933,8.1138421,6.7654933,5.11101193,10.0551172,4.98795427,2.7825325,3.380357,8.49565378,10.0413988,141198.712,72.7979166,116.028855,74.7275313,407.111339
1200,121.345029,7.5,339.379618,6.3656238,8.1071375,6.3656238,5.11720761,10.0676068,4.99414986,2.78250652,3.894075,8.4926456,10.0378433,141248.726,72.797811,116.172952,74.727642,407.255541
1200,127.923977,2.5,338.837886,10.5471506,8.6219889,10.5471506,5.0565062,9.93168367,4.92672365,2.78072423,1.836918,8.5062236,10.0538918,141023.259,72.8015867,114.605772,74.7217661,406.605463
1200,127.923977,3.75,338.96669,8.5917912,8.5893183,8.5917912,5.08677695,9.99270072,4.95699184,2.78062334,2.350654,8.50299132,10.0500714,141076.867,72.7997567,115.309507,74.7234519,406.760027
1200,127.923977,5,339.090144,7.6023876,8.5719791,7.6023876,5.10207526,10.0235382,4.97228913,2.78056956,2.864365,8.49989558,10.0464124,141128.248,72.7990074,115.665202,74.7241491,406.908173
1200,127.923977,6.25,339.211426,7.0050266,8.5614766,7.0050266,5.11130983,10.0421532,4.98152331,2.78053502,3.378064,8.49685654,10.0428204,141178.725,72.7986911,115.879941,74.7244522,407.05371
1200,127.923977,7.5,339.331609,6.6052129,8.5544274,6.6052129,5.11748972,10.054611,4.98770311,2.78051017,3.891756,8.49384715,10.0392635,141228.745,72.7985935,116.023674,74.7245575,407.197931
1200,134.502924,2.5,338.794168,10.7862887,9.0729309,10.7862887,5.0569503,9.9190143,4.92043887,2.7789081,1.834929,8.50732124,10.0551891,141005.063,72.8021377,114.460159,74.7190816,406.553001
1200,134.502924,3.75,338.923022,8.8312408,9.0387208,8.8312408,5.08714827,9.97988469,4.95063431,2.77881124,2.348638,8.50408686,10.0513663,141058.692,72.8004079,115.162224,74.7206933,406.707626
1200,134.502924,5,339.046505,7.8419821,9.020533,7.8419821,5.10240803,10.0106445,4.96589305,2.77875965,2.862325,8.50098962,10.0477055,141110.085,72.7996995,115.51703,74.7213609,406.855806
1200,134.502924,6.25,339.167805,7.2447162,9.0095178,7.2447162,5.11161921,10.0292123,4.97510384,2.77872652,3.376,8.49794934,10.044112,141160.57,72.799402,115.731231,74.7216508,407.001365
1200,134.502924,7.5,339.288002,6.8449698,9.0021256,6.8449698,5.11778338,10.0416384,4.98126792,2.77870272,3.889668,8.49493881,10.0405538,141210.596,72.7993102,115.874599,74.7217529,407.145603
1200,141.081871,2.5,338.754265,11.0254972,9.5242571,11.0254972,5.05740501,9.90636637,4.91416472,2.77725587,1.833129,8.50832337,10.0563736,140988.456,72.8026489,114.314742,74.7166193,406.505117
1200,141.081871,3.75,338.883166,9.0708162,9.4885236,9.0708162,5.08753081,9.96709129,4.944288,2.77716279,2.346814,8.50508703,10.0525484,141042.104,72.8010067,115.015147,74.7181683,406.659799
1200,141.081871,5,339.006674,8.0817268,9.4694902,8.0817268,5.10275219,9.99777372,4.95950836,2.77711321,2.860478,8.50198843,10.048886,141093.508,72.8003362,115.369069,74.7188089,406.808009
1200,141.081871,6.25,339.127991,7.484571,9.4579644,7.484571,5.11194006,10.0162946,4.96869584,2.7770814,3.374131,8.498947,10.0452912,141144,72.8000543,115.582731,74.7190886,406.953589
1200,141.081871,7.5,339.248201,7.0849017,9.4502309,7.0849017,5.11808859,10.0286891,4.97484429,2.77705855,3.887778,8.49593547,10.0417318,141194.03,72.7999691,115.725737,74.7191871,407.09784
1200,147.660819,2.5,338.717683,11.2647981,9.9759712,11.2647981,5.05787048,9.89374029,4.90790141,2.77574636,1.831491,8.50924227,10.0574597,140973.23,72.803121,114.169531,74.7143565,406.461218
1200,147.660819,3.75,338.846627,9.3105295,9.9387248,9.3105295,5.08792454,9.95432045,4.93795288,2.77565676,2.345155,8.50600418,10.0536324,141026.897,72.8015596,114.868283,74.7158453,406.615951
1200,147.660819,5,338.970158,8.321631,9.9188495,8.321631,5.10310771,9.98492586,4.95313504,2.77560905,2.858798,8.50290433,10.0499686,141078.31,72.8009231,115.221324,74.7164623,406.764189
1200,147.660819,6.25,339.091489,7.724598,9.9068154,7.724598,5.11227238,10.0034,4.96229932,2.77557844,3.372432,8.49986188,10.0463726,141128.808,72.8006568,115.43445,74.7167323,406.909787
1200,147.660819,7.5,339.21171,7.3250148,9.898743,7.3250148,5.11840537,10.0157632,4.96843223,2.77555647,3.886058,8.49684941,10.042812,141178.843,72.8005767,115.577097,74.7168286,407.054052
1200,154.239766,2.5,338.684009,11.5042059,10.4280706,11.5042059,5.05834668,9.88113573,4.90164877,2.77436181,1.829996,8.51008831,10.0584596,140959.215,72.8035599,114.02453,74.7122575,406.42081
1200,154.239766,3.75,338.812992,9.5503906,10.3893233,9.5503906,5.08832946,9.94157218,4.93162896,2.77427545,2.343639,8.5068486,10.0546305,141012.898,72.8020714,114.721639,74.7136976,406.575589
1200,154.239766,5,338.936544,8.561702,10.3686097,8.561702,5.10347456,9.97210087,4.94677306,2.77422947,2.857264,8.5037476,10.0509653,141064.32,72.8014655,115.073802,74.7142951,406.723852
1200,154.239766,6.25,339.057889,7.9648031,10.3560697,7.9648031,5.11261615,9.99052844,4.95591426,2.77419999,3.370879,8.50070421,10.0473681,141114.823,72.801213,115.286394,74.7145563,406.869466
1200,154.239766,7.5,339.17812,7.5653124,10.3476582,7.5653124,5.11873361,10.0028603,4.96203164,2.77417884,3.884488,8.49769089,10.0438066,141164.863,72.8011376,115.42868,74.714651,407.013744
1200,160.818713,2.5,338.652898,11.7437337,10.8805541,11.7437337,5.05883362,9.86855278,4.89540686,2.77308733,1.828624,8.5108701,10.0593837,140946.267,72.8039662,113.879744,74.7103077,406.383477
1200,160.818713,3.75,338.781915,9.7904081,10.840318,9.7904081,5.08874556,9.92884646,4.92531622,2.77300398,2.34225,8.50762894,10.0555528,140999.964,72.802546,114.575219,74.7117033,406.538297
1200,160.818713,5,338.905487,8.8019458,10.8187698,8.8019458,5.10385277,9.95929877,4.94042243,2.77295963,2.855857,8.50452689,10.0518863,141051.394,72.8019679,114.926507,74.7122827,406.686583
1200,160.818713,6.25,339.026844,8.2051908,10.805726,8.2051908,5.11297135,9.97767996,4.94954063,2.77293119,3.369455,8.50148262,10.0482882,141101.902,72.801728,115.138566,74.7125383,406.832212
1200,160.818713,7.5,339.147084,7.8057997,10.7969778,7.8057997,5.11907339,9.98998078,4.95564259,2.77291079,3.883048,8.49846853,10.0447257,141151.946,72.8016578,115.280495,74.7126304,406.9765
1200,167.397661,2.5,338.624055,11.9833924,11.3334208,11.9833924,5.05933128,9.85599149,4.88917569,2.77191026,1.827362,8.51159506,10.0602405,140934.262,72.8043468,113.735177,74.708485,406.348864
1200,167.397661,3.75,338.753104,10.0305922,11.29171,10.0305922,5.0891706,9.9161387,4.91901239,2.77182973,2.340971,8.50835251,10.056408,140987.973,72.802988,114.42895,74.7100442,406.503724
1200,167.397661,5,338.876691,9.0423673,11.2693285,9.0423673,5.1042423,9.9465195,4.93408313,2.77178688,2.854562,8.50524955,10.0527405,141039.409,72.8024364,114.779443,74.7104062,406.652029
1200,167.397661,6.25,338.99806,8.4457659,11.2557848,8.4457659,5.11333803,9.96485464,4.94317848,2.77175942,3.368145,8.50220448,10.0491414,141089.923,72.8022076,114.990973,74.7106556,406.797671
1200,167.397661,7.5,339.118309,8.0464793,11.2466998,8.0464793,5.11942465,9.97712438,4.94926503,2.77173973,3.881722,8.49918966,10.045578,141139.97,72.8021412,115.132545,74.7107477,406.94197
1200,173.976608,2.5,338.597229,12.2231908,11.7866696,12.2231908,5.0598397,9.84345189,4.88295528,2.77081987,1.826197,8.51226939,10.0610376,140923.098,72.8047009,113.590834,74.7067746,406.316673
1200,173.976608,3.75,338.726306,10.2709384,11.7434913,10.2709384,5.08961125,9.90346258,4.91272426,2.77074198,2.33979,8.50902566,10.0572036,140976.819,72.8033991,114.283068,74.7081001,406.471566
1200,173.976608,5,338.84991,9.2829708,11.7202844,9.2829708,5.10464313,9.93376303,4.92775514,2.77070053,2.853367,8.50592178,10.053535,141028.263,72.8028717,114.632613,74.7086503,406.61989
1200,173.976608,6.25,338.971288,8.6865288,11.70624,8.6865288,5.113716,9.95205209,4.93682763,2.77067398,3.366935,8.50287598,10.0499351,141078.78,72.8026538,114.843615,74.708895,406.765545
1200,173.976608,7.5,339.091545,8.2873538,11.6968233,8.2873538,5.11978737,9.96429111,4.94289894,2.77065495,3.880498,8.4998605,10.0463709,141128.831,72.8025913,114.984832,74.7089861,406.909853
1200,180.555556,2.5,338.572207,12.4631427,12.2402994,12.4631427,5.0603547,9.83092543,4.87674139,2.76980691,1.825118,8.51289845,10.0617811,140912.684,72.8050326,113.446574,74.7055254,406.286649
1200,180.555556,3.75,338.701308,10.5114616,12.1956674,10.5114616,5.09006083,9.89080436,4.90644501,2.76973149,2.338697,8.50965366,10.0579459,140966.415,72.8037836,114.137343,74.7064609,406.441569
1200,180.555556,5,338.824926,9.5237599,12.1716371,9.5237599,5.10505525,9.92102933,4.92143844,2.76969136,2.85226,8.50654897,10.0542763,141017.865,72.8032786,114.486022,74.7069997,406.58991
1200,180.555556,6.25,338.946315,8.9274851,12.1570956,8.9274851,5.11410541,9.93927262,4.93048823,2.76966569,3.365815,8.50350247,10.0506755,141068.386,72.8030689,114.696496,74.707241,406.735577
1200,180.555556,7.5,339.066577,8.5284251,12.1473465,8.5284251,5.12016155,9.95148092,4.9365443,2.76964725,3.879364,8.50048639,10.0471107,141118.439,72.8030114,114.837361,74.707331,406.879892
2155.10204,55.5555556,2.5,346.313289,7.8824312,3.6040102,7.8824312,9.14666519,18.3279303,9.09177646,3.08709336,3.539513,8.32261109,9.8368718,144134.498,72.8352195,211.449137,74.8308484,746.340476
2155.10204,55.5555556,3.75,346.531938,5.9154257,3.595176,5.9154257,9.17863837,18.3923812,9.12374803,3.08701508,4.464148,8.31735983,9.83066511,144225.499,72.8322475,212.191652,74.8334293,746.811686
2155.10204,55.5555556,5,346.746825,4.9250034,3.5906309,4.9250034,9.19473358,18.4248272,9.13984325,3.08695362,5.38861,8.31220537,9.82457281,144314.934,72.8320148,212.565888,74.8336529,747.27479
2155.10204,55.5555556,6.25,346.960188,4.3284965,3.5878464,4.3284965,9.20442574,18.4443668,9.14953606,3.08689905,6.312971,8.30709377,9.81853118,144403.735,72.8328853,212.791612,74.8329267,747.73461
2155.10204,55.5555556,7.5,347.172782,3.9298691,3.5859474,3.9298691,9.21090186,18.4574239,9.15601318,3.08684799,7.237257,8.30200685,9.81251872,144492.216,72.8343065,212.942744,74.8317264,748.192772
2155.10204,62.1345029,2.5,345.946787,8.1323583,4.0467714,8.1323583,9.14686041,18.3147579,9.08524211,3.07146232,3.504405,8.3314282,9.84729314,143981.961,72.8291828,211.302936,74.8166688,745.550627
2155.10204,62.1345029,3.75,346.165223,6.160886,4.0368903,6.160886,9.17878037,18.3791014,9.11716044,3.07138,4.428761,8.32617094,9.84107935,144072.873,72.8265509,212.044353,74.8189569,746.021378
2155.10204,62.1345029,5,346.380058,5.1682626,4.0318291,5.1682626,9.19484902,18.4114939,9.13322911,3.07131897,5.352966,8.3210068,9.83497562,144162.287,72.8263596,212.417998,74.8191431,746.48437
2155.10204,62.1345029,6.25,346.593438,4.5704437,4.0287336,4.5704437,9.20452502,18.4310009,9.14290579,3.07126668,6.277083,8.31588399,9.82892073,144251.095,72.8271462,212.643325,74.8184868,746.944225
2155.10204,62.1345029,7.5,346.80608,4.1709452,4.0266266,4.1709452,9.21099029,18.4440361,9.14937206,3.07121876,7.201132,8.31078515,9.82289419,144339.596,72.828425,212.794158,74.8174065,747.40249
2155.10204,68.7134503,2.5,345.645331,8.379543,4.4896971,8.379543,9.14705604,18.3015864,9.07870824,3.0586098,3.476358,8.33869449,9.85588151,143856.496,72.8249412,211.155841,74.8046999,744.900958
2155.10204,68.7134503,3.75,345.863629,6.4045892,4.4788342,6.4045892,9.17892581,18.3658288,9.1105764,3.05852586,4.400482,8.33343137,9.84966078,143947.351,72.8225865,211.896206,74.8067494,745.371414
2155.10204,68.7134503,5,346.078441,5.4102371,4.4732589,5.4102371,9.19496859,18.3981691,9.12661922,3.05846605,5.324473,8.32825873,9.84354701,144036.756,72.8224246,212.269269,74.8069091,745.83436
2155.10204,68.7134503,6.25,346.291841,4.8113893,4.4698533,4.8113893,9.20462886,18.4176444,9.13628016,3.05841603,6.248385,8.32312655,9.83748105,144125.572,72.8231442,212.494212,74.8063088,746.294254
2155.10204,68.7134503,7.5,346.504527,4.4112074,4.4675388,4.4112074,9.21108357,18.4306584,9.14273588,3.05837093,7.172237,8.31801779,9.83144277,144214.091,72.8243077,212.644764,74.8053258,746.752613
2155.10204,75.2923977,2.5,345.392871,8.6247697,4.9328502,8.6247697,9.14725492,18.2884216,9.07217772,3.0478507,3.453443,8.34478953,9.86308551,143751.423,72.8218842,211.00811,74.7944703,744.356882
2155.10204,75.2923977,3.75,345.611083,6.6470352,4.9210091,6.6470352,9.17907549,18.3525648,9.10399668,3.04776667,4.377372,8.3395208,9.85685815,143842.242,72.8197544,211.747425,74.7963265,744.827151
2155.10204,75.2923977,5,345.825887,5.6513029,4.9149206,5.6513029,9.1950929,18.3848541,9.12001413,3.04770842,5.301181,8.33434084,9.85073573,143931.643,72.8196167,212.119915,74.7964646,745.290076
2155.10204,75.2923977,6.25,346.039312,5.0516327,4.9112058,5.0516327,9.2047378,18.4042984,9.12965972,3.04766064,6.224919,8.32920052,9.84466015,144020.47,72.8202792,212.344486,74.7959121,745.750028
2155.10204,75.2923977,7.5,346.252038,4.6509056,4.9086846,4.6509056,9.21118217,18.4172916,9.1361051,3.04761811,7.148604,8.32408333,9.83861191,144109.006,72.8213457,212.494766,74.795011,746.208474
2155.10204,81.871345,2.5,345.178268,8.8685466,5.3762311,8.8685466,9.14745777,18.275265,9.06565124,3.03870925,3.434374,8.34997765,9.86921758,143662.106,72.8196289,210.859901,74.7856367,743.894389
2155.10204,81.871345,3.75,345.396425,6.8885615,5.3634153,6.8885615,9.17922994,18.3393107,9.09742182,3.038626,4.358135,8.34470367,9.86298402,143752.902,72.8176882,211.59817,74.7873308,744.364541
2155.10204,81.871345,5,345.611232,5.8917114,5.3568151,5.8917114,9.19522242,18.3715497,9.11341434,3.0385695,5.281789,8.33951722,9.85685393,143842.304,72.8175699,211.970094,74.7874514,744.827471
2155.10204,81.871345,6.25,345.82468,5.2913762,5.3527919,5.2913762,9.2048522,18.3909636,9.12304482,3.03852383,6.205378,8.33436994,9.85077012,143931.141,72.8181862,212.194301,74.7869378,745.287474
2155.10204,81.871345,7.5,346.037443,4.8902088,5.350065,4.8902088,9.21128642,18.4039363,9.12948006,3.03848361,7.128918,8.32924551,9.84471332,144019.692,72.8191703,212.34432,74.7861065,745.746
2155.10204,88.4502924,2.5,344.993529,9.1112291,5.8198403,9.1112291,9.14766514,18.2621177,9.05912934,3.03084423,3.418259,8.35444892,9.87450237,143585.218,72.8179395,210.711335,74.7779315,743.496259
2155.10204,88.4502924,3.75,345.211656,7.1294044,5.8060532,7.1294044,9.17938959,18.3260671,9.09085221,3.03076235,4.341877,8.34917004,9.86826304,143676.002,72.816157,211.448561,74.77949,743.966345
2155.10204,88.4502924,5,345.426471,6.13164,5.7989426,6.13164,9.19535747,18.3582566,9.10682014,3.03070768,5.265396,8.34397784,9.86212613,143765.407,72.8160546,211.819924,74.7795968,744.429293
2155.10204,88.4502924,6.25,345.639945,5.5307617,5.7946119,5.5307617,9.20497235,18.3776404,9.11643572,3.03066401,6.188856,8.33882444,9.8560351,143854.254,72.8166292,212.043774,74.7791183,744.88935
2155.10204,88.4502924,7.5,345.852741,5.1292344,5.7916794,5.1292344,9.21139658,18.390593,9.12286097,3.03062589,7.11227,8.33369373,9.84997087,143942.819,72.8175431,212.193538,74.7783464,745.347948
2155.10204,95.0292398,2.5,344.832779,9.3530732,6.2636777,9.3530732,9.14787742,18.2489803,9.0526124,3.02400456,3.404464,8.3583435,9.87910556,143518.315,72.8166551,210.562504,74.7711539,743.149826
